Query,Response
What payment methods do you accept?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
Is cash on delivery available?,"We accept credit cards, debit cards, net banking, and digital wallets."
What payment methods do you accept?,"Unfortunately, the shipping address cannot be changed after placing an order."
What are the shipping charges?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
How do I cancel my order?,Our return policy allows returns within 30 days of delivery.
How can I track my order?,"Unfortunately, the shipping address cannot be changed after placing an order."
How do I cancel my order?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
How do I cancel my order?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
Do you offer discounts for first-time buyers?,"Unfortunately, the shipping address cannot be changed after placing an order."
What is the return policy?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I cancel my order?,Our return policy allows returns within 30 days of delivery.
Can I change my shipping address after placing an order?,"If you receive a damaged product, please contact our support team immediately."
What is the return policy?,"We accept credit cards, debit cards, net banking, and digital wallets."
How do I apply a promo code?,"If you receive a damaged product, please contact our support team immediately."
What are the shipping charges?,"If you receive a damaged product, please contact our support team immediately."
What payment methods do you accept?,You can track your order through the 'Track Order' link in your confirmation email.
What are the shipping charges?,"Unfortunately, the shipping address cannot be changed after placing an order."
Do you offer discounts for first-time buyers?,You can track your order through the 'Track Order' link in your confirmation email.
What are the shipping charges?,"Unfortunately, the shipping address cannot be changed after placing an order."
What should I do if I receive a damaged product?,Enter the promo code at checkout to avail discounts.
What is the return policy?,"Unfortunately, the shipping address cannot be changed after placing an order."
What are the shipping charges?,"Unfortunately, the shipping address cannot be changed after placing an order."
What should I do if I receive a damaged product?,"Unfortunately, the shipping address cannot be changed after placing an order."
How can I track my order?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
What is the return policy?,You can track your order through the 'Track Order' link in your confirmation email.
What should I do if I receive a damaged product?,You can track your order through the 'Track Order' link in your confirmation email.
What should I do if I receive a damaged product?,Our return policy allows returns within 30 days of delivery.
What is the return policy?,You can track your order through the 'Track Order' link in your confirmation email.
Do you offer discounts for first-time buyers?,Our return policy allows returns within 30 days of delivery.
How can I track my order?,"If you receive a damaged product, please contact our support team immediately."
What should I do if I receive a damaged product?,Enter the promo code at checkout to avail discounts.
Is cash on delivery available?,"We accept credit cards, debit cards, net banking, and digital wallets."
What is the return policy?,Our return policy allows returns within 30 days of delivery.
What should I do if I receive a damaged product?,"If you receive a damaged product, please contact our support team immediately."
What should I do if I receive a damaged product?,"If you receive a damaged product, please contact our support team immediately."
What should I do if I receive a damaged product?,Enter the promo code at checkout to avail discounts.
How do I apply a promo code?,You can track your order through the 'Track Order' link in your confirmation email.
How can I track my order?,"Yes, cash on delivery is available for select locations."
What should I do if I receive a damaged product?,"We accept credit cards, debit cards, net banking, and digital wallets."
Is cash on delivery available?,"Unfortunately, the shipping address cannot be changed after placing an order."
What should I do if I receive a damaged product?,"If you receive a damaged product, please contact our support team immediately."
What are the shipping charges?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
What are the shipping charges?,Our return policy allows returns within 30 days of delivery.
What payment methods do you accept?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I cancel my order?,Enter the promo code at checkout to avail discounts.
What payment methods do you accept?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
Do you offer discounts for first-time buyers?,Our return policy allows returns within 30 days of delivery.
What should I do if I receive a damaged product?,"If you receive a damaged product, please contact our support team immediately."
How can I track my order?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
How do I cancel my order?,Enter the promo code at checkout to avail discounts.
How can I track my order?,"If you receive a damaged product, please contact our support team immediately."
What is the return policy?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
Is cash on delivery available?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
What should I do if I receive a damaged product?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
Is cash on delivery available?,You can track your order through the 'Track Order' link in your confirmation email.
What should I do if I receive a damaged product?,"We accept credit cards, debit cards, net banking, and digital wallets."
Do you offer discounts for first-time buyers?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I cancel my order?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
Is cash on delivery available?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I cancel my order?,"Yes, cash on delivery is available for select locations."
How do I cancel my order?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
What is the return policy?,"Yes, cash on delivery is available for select locations."
What should I do if I receive a damaged product?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
What are the shipping charges?,"Yes, cash on delivery is available for select locations."
How do I cancel my order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How can I track my order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
Do you offer discounts for first-time buyers?,"If you receive a damaged product, please contact our support team immediately."
What is the return policy?,Enter the promo code at checkout to avail discounts.
What are the shipping charges?,"Unfortunately, the shipping address cannot be changed after placing an order."
How can I track my order?,Enter the promo code at checkout to avail discounts.
How can I track my order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I cancel my order?,"Unfortunately, the shipping address cannot be changed after placing an order."
What should I do if I receive a damaged product?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I cancel my order?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
What is the return policy?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
Is cash on delivery available?,"Unfortunately, the shipping address cannot be changed after placing an order."
How can I track my order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I apply a promo code?,"Yes, cash on delivery is available for select locations."
How do I cancel my order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
Is cash on delivery available?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
How do I apply a promo code?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
Do you offer discounts for first-time buyers?,Enter the promo code at checkout to avail discounts.
What are the shipping charges?,"Unfortunately, the shipping address cannot be changed after placing an order."
What payment methods do you accept?,Our return policy allows returns within 30 days of delivery.
Can I change my shipping address after placing an order?,"We accept credit cards, debit cards, net banking, and digital wallets."
How can I track my order?,"If you receive a damaged product, please contact our support team immediately."
What is the return policy?,"Yes, cash on delivery is available for select locations."
Can I change my shipping address after placing an order?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
How do I apply a promo code?,"Unfortunately, the shipping address cannot be changed after placing an order."
How can I track my order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I apply a promo code?,Our return policy allows returns within 30 days of delivery.
What is the return policy?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
Do you offer discounts for first-time buyers?,"We accept credit cards, debit cards, net banking, and digital wallets."
How can I track my order?,"We accept credit cards, debit cards, net banking, and digital wallets."
How can I track my order?,Enter the promo code at checkout to avail discounts.
Can I change my shipping address after placing an order?,Enter the promo code at checkout to avail discounts.
Do you offer discounts for first-time buyers?,"If you receive a damaged product, please contact our support team immediately."
How can I track my order?,"Yes, cash on delivery is available for select locations."
What is the return policy?,"We accept credit cards, debit cards, net banking, and digital wallets."
What are the shipping charges?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
Can I change my shipping address after placing an order?,"Yes, cash on delivery is available for select locations."
Can I change my shipping address after placing an order?,"We accept credit cards, debit cards, net banking, and digital wallets."
What should I do if I receive a damaged product?,"If you receive a damaged product, please contact our support team immediately."
Is cash on delivery available?,"Unfortunately, the shipping address cannot be changed after placing an order."
What are the shipping charges?,Our return policy allows returns within 30 days of delivery.
How do I cancel my order?,Our return policy allows returns within 30 days of delivery.
Is cash on delivery available?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I apply a promo code?,Our return policy allows returns within 30 days of delivery.
What payment methods do you accept?,"Yes, cash on delivery is available for select locations."
What payment methods do you accept?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
What payment methods do you accept?,Our return policy allows returns within 30 days of delivery.
How do I cancel my order?,You can track your order through the 'Track Order' link in your confirmation email.
How can I track my order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
What are the shipping charges?,"Unfortunately, the shipping address cannot be changed after placing an order."
Is cash on delivery available?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
What payment methods do you accept?,"Yes, cash on delivery is available for select locations."
Can I change my shipping address after placing an order?,"If you receive a damaged product, please contact our support team immediately."
What is the return policy?,Enter the promo code at checkout to avail discounts.
Can I change my shipping address after placing an order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
How do I apply a promo code?,You can track your order through the 'Track Order' link in your confirmation email.
What is the return policy?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
Is cash on delivery available?,"If you receive a damaged product, please contact our support team immediately."
How can I track my order?,"If you receive a damaged product, please contact our support team immediately."
What is the return policy?,"Unfortunately, the shipping address cannot be changed after placing an order."
What is the return policy?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
What are the shipping charges?,"Yes, cash on delivery is available for select locations."
Do you offer discounts for first-time buyers?,Our return policy allows returns within 30 days of delivery.
How can I track my order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
What payment methods do you accept?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
Do you offer discounts for first-time buyers?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
Can I change my shipping address after placing an order?,"If you receive a damaged product, please contact our support team immediately."
What payment methods do you accept?,"Unfortunately, the shipping address cannot be changed after placing an order."
Can I change my shipping address after placing an order?,Enter the promo code at checkout to avail discounts.
What payment methods do you accept?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
What is the return policy?,Enter the promo code at checkout to avail discounts.
What payment methods do you accept?,Enter the promo code at checkout to avail discounts.
Do you offer discounts for first-time buyers?,"We accept credit cards, debit cards, net banking, and digital wallets."
Do you offer discounts for first-time buyers?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
How do I apply a promo code?,"We accept credit cards, debit cards, net banking, and digital wallets."
What should I do if I receive a damaged product?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
Can I change my shipping address after placing an order?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
How do I cancel my order?,Enter the promo code at checkout to avail discounts.
What payment methods do you accept?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
Is cash on delivery available?,You can track your order through the 'Track Order' link in your confirmation email.
How do I apply a promo code?,Enter the promo code at checkout to avail discounts.
What payment methods do you accept?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
Can I change my shipping address after placing an order?,"Yes, cash on delivery is available for select locations."
Is cash on delivery available?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
What payment methods do you accept?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
What payment methods do you accept?,"Yes, we offer a 10% discount for first-time buyers. Use code WELCOME10."
What should I do if I receive a damaged product?,"We accept credit cards, debit cards, net banking, and digital wallets."
How can I track my order?,Enter the promo code at checkout to avail discounts.
What are the shipping charges?,"Yes, cash on delivery is available for select locations."
Can I change my shipping address after placing an order?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
What should I do if I receive a damaged product?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
What payment methods do you accept?,"Unfortunately, the shipping address cannot be changed after placing an order."
What payment methods do you accept?,"Unfortunately, the shipping address cannot be changed after placing an order."
How do I apply a promo code?,"We accept credit cards, debit cards, net banking, and digital wallets."
Do you offer discounts for first-time buyers?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
Is cash on delivery available?,"We accept credit cards, debit cards, net banking, and digital wallets."
Can I change my shipping address after placing an order?,"Unfortunately, the shipping address cannot be changed after placing an order."
What payment methods do you accept?,Our return policy allows returns within 30 days of delivery.
Can I change my shipping address after placing an order?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
How can I track my order?,"Yes, cash on delivery is available for select locations."
How do I cancel my order?,Enter the promo code at checkout to avail discounts.
Is cash on delivery available?,Shipping charges vary based on location and order value. Free shipping is available on orders over $50.
Can I change my shipping address after placing an order?,Enter the promo code at checkout to avail discounts.
What payment methods do you accept?,"To cancel your order, go to 'My Orders' and select 'Cancel Order'."
